Headline,URL,Date,Location
Japanese tourist tested positive for novel coronavirus after visiting Hawaii,https://globalnews.ca/news/6555259/japan-hawaii-coronavirus/,2 hours ago,COVID-19
MS Westerdam passengers describe ‘best cruise ever’ despite COVID-19 fears,https://globalnews.ca/news/6555125/ms-westerdam-cruise-ship-coronavirus/,3 hours ago,TRAVEL
"China’s top diplomat acknowledges COVID-19 challenge, criticizes ‘overreaction’",https://globalnews.ca/news/6555033/china-coronavirus-challenge-overreaction/,4 hours ago,CHINA
American prosecutors end high-profile terrorism case against California man,https://globalnews.ca/news/6554979/california-terrorism-case-dismissed-hamid-hayat/,4 hours ago,CALIFORNIA
U.S. Border Patrol deploying Tactical Unit officers to ‘sanctuary cities’ for arrests,https://globalnews.ca/news/6554906/us-border-patrol-sanctuary-cities-immigrants/,4 hours ago,IMMIGRATION
Kobe Bryant among Basketball Hall of Fame finalists,https://globalnews.ca/news/6554790/kobe-bryant-basketball-hall-of-fame/,5 hours ago,KOBE BRYANT
R. Kelly child sex abuse allegations: updated indictment lists new accuser,https://globalnews.ca/news/6554575/r-kelly-child-sex-allegations-indictment/,6 hours ago,R. KELLY
"COVID-19: Virus death toll rises to 1,523 as Beijing quarantines returning residents",https://globalnews.ca/news/6554449/china-coronavirus-beijing-quarantine/,6 hours ago,COVID-19
Airstrike killing top Iranian general was a response to past attacks: White House memo,https://globalnews.ca/news/6553852/white-house-memo-iran-airstike-soleimani/,8 hours ago,IRAN
"U.S., Taliban agree on temporary truce in Afghanistan: senior official",https://globalnews.ca/news/6553661/us-taliban-afghanistan-truce/,8 hours ago,AFGHANISTAN
Russians claim they tricked Bernie Sanders in prank call posing as Greta Thunberg,https://globalnews.ca/news/6553477/bernie-sanders-greta-thunberg-prank-russia/,9 hours ago,WORLD
"Melting ice causing polar bears to get thinner, have fewer babies: study",https://globalnews.ca/news/6552854/polar-bears-climate-change/,9 hours ago,ENVIRONMENT
Venezuela’s Nicolas Maduro says Juan Guaido’s arrest ‘will come’,https://globalnews.ca/news/6553057/venezuela-maduro-arrest-juan-guaido/,10 hours ago,WORLD
